Time,SumValue
"13/08/2022, 23:15",1.841258943
"13/08/2022, 23:30",1.674788952
"13/08/2022, 23:45",2.131983042
"14/08/2022, 00:00",0.966647
"14/08/2022, 00:15",0.993149995
"14/08/2022, 00:30",1.047165036
"14/08/2022, 00:45",0.975757018
"14/08/2022, 01:00",1.004754007
"14/08/2022, 01:15",1.004754007
"14/08/2022, 01:30",1.076930017
"14/08/2022, 01:45",1.210970998
"14/08/2022, 02:00",1.076549977
"14/08/2022, 02:15",1.106179014
"14/08/2022, 02:30",1.030447021
"14/08/2022, 02:45",1.139345005
"14/08/2022, 03:00",0.918018993
"14/08/2022, 03:15",0.929608017
"14/08/2022, 03:30",1.147509038
"14/08/2022, 03:45",0.99659799
"14/08/2022, 04:00",0.901560009
"14/08/2022, 04:15",0.900103986
"14/08/2022, 04:30",0.676179991
"14/08/2022, 04:45",3.846242965
"14/08/2022, 05:00",2.213718056
"14/08/2022, 05:15",1.96112901
"14/08/2022, 05:30",1.652563989
"14/08/2022, 05:45",1.54382497
"14/08/2022, 06:00",2.50119102
"14/08/2022, 06:15",6.713765979
"14/08/2022, 06:30",5.679236829
"14/08/2022, 06:45",3.948334098
"14/08/2022, 07:00",3.654372901
"14/08/2022, 07:15",6.291447043
"14/08/2022, 07:30",4.481646955
"14/08/2022, 07:45",5.855872989
"14/08/2022, 08:00",4.010347843
"14/08/2022, 08:15",0.567964017
"14/08/2022, 08:30",-0.695734024
"14/08/2022, 08:45",3.097661018
"14/08/2022, 09:00",-0.826716006
"14/08/2022, 09:15",9.165951788
"14/08/2022, 09:30",7.212850094
"14/08/2022, 09:45",3.714221001
"14/08/2022, 10:00",1.444478035
"14/08/2022, 10:15",2.815265894
"14/08/2022, 10:30",2.475228071
"14/08/2022, 10:45",5.471560955
"14/08/2022, 11:00",3.911647081
"14/08/2022, 11:15",1.425544977
"14/08/2022, 11:30",8.68753624
"14/08/2022, 11:45",1.896885037
"14/08/2022, 12:00",-1.614197016
"14/08/2022, 12:15",0.306015015
"14/08/2022, 12:30",2.120105982
"14/08/2022, 12:45",1.52948296
"14/08/2022, 13:00",5.811829209
"14/08/2022, 13:15",5.811829209
"14/08/2022, 13:30",9.058697939
"14/08/2022, 13:45",3.755674958
"14/08/2022, 14:00",3.869657994
"14/08/2022, 14:15",5.392502904
"14/08/2022, 14:30",1.904527992
"14/08/2022, 14:45",0.634617031
"14/08/2022, 15:00",7.849307179
"14/08/2022, 15:15",6.172106146
"14/08/2022, 15:30",5.000882029
"14/08/2022, 15:45",4.576087952
"14/08/2022, 16:00",1.464175984
"14/08/2022, 16:15",9.310669064
"14/08/2022, 16:30",8.616302967
"14/08/2022, 16:45",3.528692007
"14/08/2022, 17:00",4.054632902
"14/08/2022, 17:15",2.835935951
"14/08/2022, 17:30",1.87680003
"14/08/2022, 17:45",1.352445007
"14/08/2022, 18:00",2.211983085
"14/08/2022, 18:15",4.709699154
"14/08/2022, 18:30",3.352717996
"14/08/2022, 18:45",2.673709988
"14/08/2022, 19:00",6.858142257
"14/08/2022, 19:15",2.819322944
"14/08/2022, 19:30",7.309826851
"14/08/2022, 19:45",6.859383106
"14/08/2022, 20:00",6.028992951
"14/08/2022, 20:15",2.706515014
"14/08/2022, 20:30",2.835117042
"14/08/2022, 20:45",-0.038290978
"14/08/2022, 21:00",4.967218756
"14/08/2022, 21:15",2.430499077
"14/08/2022, 21:30",3.401946008
"14/08/2022, 21:45",3.519398928
"14/08/2022, 22:00",4.269893885
"14/08/2022, 22:15",1.847993016
"14/08/2022, 22:30",3.912047983
"14/08/2022, 22:45",3.990033984
"14/08/2022, 23:00",1.608789027
"14/08/2022, 23:15",3.479290068
"14/08/2022, 23:30",1.825492978
"14/08/2022, 23:45",1.708332002
"15/08/2022, 00:00",0.80984997
"15/08/2022, 00:15",1.034983993
"15/08/2022, 00:30",1.837330043
"15/08/2022, 00:45",0.559427023
"15/08/2022, 01:00",0.559427023
"15/08/2022, 01:15",0.559427023
"15/08/2022, 01:30",0.559427023
"15/08/2022, 01:45",0.559427023
"15/08/2022, 02:00",0.559427023
"15/08/2022, 02:15",0.559427023
"15/08/2022, 02:30",0.559427023
"15/08/2022, 02:45",0.559427023
