Time,actual,predicted,error,0-11,Nov-21,21-31,31-41,41-51,51 and more
"02/09/2022, 10:45",0.524488986,5.636954209,974.7516839,0,0,0,0,0,1
"02/09/2022, 11:00",3.598992109,4.536121476,26.03866134,0,0,1,0,0,0
"02/09/2022, 11:15",4.780302048,5.800159931,21.33459085,0,0,1,0,0,0
"02/09/2022, 11:30",6.404117107,3.89960309,39.1078735,0,0,0,1,0,0
"02/09/2022, 11:45",3.569480896,5.211988735,46.01531391,0,0,0,0,1,0
"02/09/2022, 12:00",7.243482113,2.447091071,66.21664783,0,0,0,0,0,1
"02/09/2022, 12:15",7.513672829,5.015087295,33.25385056,0,0,0,1,0,0
"02/09/2022, 12:30",7.000235081,3.92680435,43.90467885,0,0,0,0,1,0
"02/09/2022, 12:45",2.077966928,6.481916213,211.9354849,0,0,0,0,0,1
"02/09/2022, 13:00",2.077966928,3.187019652,53.37201036,0,0,0,0,0,1
"02/09/2022, 13:15",4.748074055,4.466905832,5.92173204,1,0,0,0,0,0
"02/09/2022, 13:30",3.935719967,4.203646272,6.8075551,1,0,0,0,0,0
"02/09/2022, 13:45",2.541733027,4.657194728,83.229107,0,0,0,0,0,1
"02/09/2022, 14:00",5.205761909,3.95047183,24.11347466,0,0,1,0,0,0
"02/09/2022, 14:15",-2.65469408,4.711075375,-277.4620816,0,0,1,0,0,0
"02/09/2022, 14:30",3.746392965,4.238462335,13.13448361,0,1,0,0,0,0
"02/09/2022, 14:45",2.440623045,4.940129995,102.4126587,0,0,0,0,0,1
"02/09/2022, 15:00",7.982730865,4.065427577,49.07222045,0,0,0,0,1,0
"02/09/2022, 15:15",2.187865973,5.779045629,164.1407518,0,0,0,0,0,1
"02/09/2022, 15:30",7.6598382,2.99928931,60.84395999,0,0,0,0,0,1
"02/09/2022, 15:45",3.767265081,4.513085997,19.79741006,0,1,0,0,0,0
"02/09/2022, 16:00",6.964756966,4.07470386,41.49539058,0,0,0,0,1,0
"02/09/2022, 16:15",4.321190834,4.506136155,4.279961901,1,0,0,0,0,0
"02/09/2022, 16:30",7.676637173,3.950854564,48.5340459,0,0,0,0,1,0
"02/09/2022, 16:45",5.223474979,5.574618733,6.722416687,1,0,0,0,0,0
"02/09/2022, 17:00",4.394258976,4.153908479,5.469647963,1,0,0,0,0,0
"02/09/2022, 17:15",5.315497875,4.892769671,7.952749005,1,0,0,0,0,0
"02/09/2022, 17:30",9.243186951,3.751008141,59.41867063,0,0,0,0,0,1
"02/09/2022, 17:45",4.80540514,5.581554532,16.15159116,0,1,0,0,0,0
"02/09/2022, 18:00",6.757368088,4.476063842,33.76024832,0,0,0,1,0,0
"02/09/2022, 18:15",3.296614885,4.772177666,44.75993808,0,0,0,0,1,0
"02/09/2022, 18:30",7.841817856,3.263366783,58.38507292,0,0,0,0,0,1
"02/09/2022, 18:45",8.164067268,5.067269075,37.93205141,0,0,0,1,0,0
"02/09/2022, 19:00",8.164067268,5.464555669,33.0657687,0,0,0,1,0,0
"02/09/2022, 19:15",3.513011932,6.385803938,81.7757543,0,0,0,0,0,1
"02/09/2022, 19:30",3.903986931,4.209970606,7.837722829,1,0,0,0,0,0
"02/09/2022, 19:45",3.903986931,4.6703246,19.62961665,0,1,0,0,0,0
"02/09/2022, 20:00",7.687458038,4.751498657,38.19155,0,0,0,1,0,0
"02/09/2022, 20:15",4.299012184,4.708180362,9.517725482,1,0,0,0,0,0
"02/09/2022, 20:30",4.304090023,4.256064856,1.115803026,1,0,0,0,0,0
"02/09/2022, 20:45",7.114408016,3.832024437,46.13712865,0,0,0,0,1,0
"02/09/2022, 21:00",3.759453058,3.874594826,3.062726567,1,0,0,0,0,0
"02/09/2022, 21:15",1.582080007,2.948902781,86.39403617,0,0,0,0,0,1
"02/09/2022, 21:30",5.017065048,4.807460463,4.177832714,1,0,0,0,0,0
"02/09/2022, 21:45",3.671046972,4.063162479,10.68129911,1,0,0,0,0,0
"02/09/2022, 22:00",4.165668964,4.385391665,5.274607811,1,0,0,0,0,0
"02/09/2022, 22:15",2.002664089,3.254062247,62.48667288,0,0,0,0,0,1
"02/09/2022, 22:30",2.573971987,4.425519246,71.93346579,0,0,0,0,0,1
"02/09/2022, 22:45",7.099263191,4.453407735,37.26943748,0,0,0,1,0,0
"02/09/2022, 23:00",0.400577992,3.583839333,794.6670573,0,0,0,0,0,1
"02/09/2022, 23:15",3.040364027,3.162303826,4.010697345,1,0,0,0,0,0
"02/09/2022, 23:30",3.394762993,3.352497768,1.245012528,1,0,0,0,0,0
"02/09/2022, 23:45",1.898017049,2.236739624,17.84612919,0,1,0,0,0,0
"03/09/2022, 00:00",2.868730068,1.819312477,36.58125951,0,0,0,1,0,0
"03/09/2022, 00:15",1.27500999,1.553744028,21.86132192,0,0,1,0,0,0
"03/09/2022, 00:30",1.010869026,1.721282509,70.27750031,0,0,0,0,0,1
"03/09/2022, 00:45",0.879823029,1.243618615,41.34872286,0,0,0,0,1,0
"03/09/2022, 01:00",1.153556943,1.313912023,13.90092456,0,1,0,0,0,0
"03/09/2022, 01:15",1.02877903,1.335865092,29.84956471,0,0,1,0,0,0
"03/09/2022, 01:30",1.227131963,0.619592497,49.50889429,0,0,0,0,1,0
"03/09/2022, 01:45",1.218621969,1.344217801,10.30638175,1,0,0,0,0,0
"03/09/2022, 02:00",1.199249029,1.414952797,17.98657017,0,1,0,0,0,0
"03/09/2022, 02:15",1.259253979,1.477158427,17.30424933,0,1,0,0,0,0
"03/09/2022, 02:30",1.477522016,1.365468976,7.583849106,1,0,0,0,0,0
"03/09/2022, 02:45",1.434388995,1.195074597,16.68406541,0,1,0,0,0,0
"03/09/2022, 03:00",1.446423054,1.223633106,15.40282059,0,1,0,0,0,0
"03/09/2022, 03:15",1.556082964,1.284668594,17.44215291,0,1,0,0,0,0
"03/09/2022, 03:30",2.086882114,1.166829398,44.08743117,0,0,0,0,1,0
"03/09/2022, 03:45",1.808776975,1.162306,35.74077863,0,0,0,1,0,0
"03/09/2022, 04:00",1.804497957,1.301964888,27.84891315,0,0,1,0,0,0
"03/09/2022, 04:15",1.762280941,1.14816421,34.84783367,0,0,0,1,0,0
"03/09/2022, 04:30",1.804537058,1.215040298,32.66747875,0,0,0,1,0,0
"03/09/2022, 04:45",2.663970947,1.516918397,43.05799773,0,0,0,0,1,0
"03/09/2022, 05:00",4.980480194,2.137473613,57.08298136,0,0,0,0,0,1
"03/09/2022, 05:15",1.667543054,1.461629778,12.34830341,0,1,0,0,0,0
"03/09/2022, 05:30",2.427604914,2.587426263,6.583499167,1,0,0,0,0,0
"03/09/2022, 05:45",1.427299023,1.765482706,23.69396164,0,0,1,0,0,0
"03/09/2022, 06:00",2.49326396,0.824075414,66.94792739,0,0,0,0,0,1
"03/09/2022, 06:15",4.302278042,3.411914084,20.69517474,0,1,0,0,0,0
"03/09/2022, 06:30",4.857944012,2.013217521,58.55823954,0,0,0,0,0,1
"03/09/2022, 06:45",4.008430004,2.569932515,35.88680576,0,0,0,1,0,0
"03/09/2022, 07:00",3.909878969,4.583888334,17.23862479,0,1,0,0,0,0
"03/09/2022, 07:15",2.765579939,5.809103775,110.0501126,0,0,0,0,0,1
"03/09/2022, 07:30",2.765579939,4.293438804,55.24551446,0,0,0,0,0,1
"03/09/2022, 07:45",3.722290993,4.903867251,31.74325328,0,0,0,1,0,0
"03/09/2022, 08:00",3.477690935,6.745042264,93.95174529,0,0,0,0,0,1
"03/09/2022, 08:15",8.294103622,4.521816224,45.48155618,0,0,0,0,1,0
"03/09/2022, 08:30",8.294103622,2.679812741,67.69014637,0,0,0,0,0,1
"03/09/2022, 08:45",3.992024899,4.181177711,4.738267353,1,0,0,0,0,0
"03/09/2022, 09:00",3.992024899,5.431027961,36.04694605,0,0,0,1,0,0
"03/09/2022, 09:15",4.796686172,5.618832517,17.13988189,0,1,0,0,0,0
"03/09/2022, 09:30",4.796686172,3.153706575,34.25238881,0,0,0,1,0,0
"03/09/2022, 09:45",6.999670982,4.996213239,28.62217021,0,0,1,0,0,0
"03/09/2022, 10:00",0.208348006,3.295850374,1481.896768,0,0,0,0,0,1
"03/09/2022, 10:15",3.29189992,3.984966898,21.05370743,0,0,1,0,0,0
"03/09/2022, 10:30",3.29189992,4.951684404,50.42025954,0,0,0,0,1,0
"03/09/2022, 10:45",4.001712799,4.621106374,15.47821162,0,1,0,0,0,0
"03/09/2022, 11:00",0.991652012,3.510283494,253.9833986,0,0,0,0,0,1
"03/09/2022, 11:15",1.802145004,3.428098333,90.22322429,0,0,0,0,0,1
"03/09/2022, 11:30",6.890892982,3.939850235,42.82525871,0,0,0,0,1,0
"03/09/2022, 11:45",3.213411093,3.380334807,5.19459567,1,0,0,0,0,0
"03/09/2022, 12:00",4.708571911,2.697165815,42.71796489,0,0,0,0,1,0
"03/09/2022, 12:15",5.152196884,4.831763554,6.219353365,1,0,0,0,0,0
"03/09/2022, 12:30",5.548247814,4.740619469,14.55645768,0,1,0,0,0,0
"03/09/2022, 12:45",5.243885994,2.628510964,49.87475001,0,0,0,0,1,0
"03/09/2022, 13:00",2.433377028,3.64276762,49.70009078,0,0,0,0,1,0
"03/09/2022, 13:15",2.433377028,5.499511796,126.0032758,0,0,0,0,0,1
"03/09/2022, 13:30",2.433377028,3.403250392,39.85709377,0,0,0,1,0,0
"03/09/2022, 13:45",3.395653963,3.75733068,10.65116531,1,0,0,0,0,0
"03/09/2022, 14:00",3.395653963,3.611166274,6.346710052,1,0,0,0,0,0
"03/09/2022, 14:15",0.852903008,3.21051532,276.4220891,0,0,0,0,0,1
"03/09/2022, 14:30",9.120108604,3.376754176,62.97462757,0,0,0,0,0,1
"03/09/2022, 14:45",1.620689988,4.516611123,178.6844589,0,0,0,0,0,1
"03/09/2022, 15:00",4.156474113,4.961345626,19.36428549,0,1,0,0,0,0
"03/09/2022, 15:15",0.402622014,4.818000174,1096.655922,0,0,0,0,0,1
"03/09/2022, 15:30",4.959829807,5.945625556,19.87559628,0,1,0,0,0,0
"03/09/2022, 15:45",3.937933922,4.864851111,23.53816004,0,0,1,0,0,0
"03/09/2022, 16:00",0.677670002,5.343672931,688.5361482,0,0,0,0,0,1
"03/09/2022, 16:15",3.272950888,4.381545615,33.87141345,0,0,0,1,0,0
"03/09/2022, 16:30",5.28977108,3.62621063,31.4486284,0,0,0,1,0,0
"03/09/2022, 16:45",-0.40189001,6.586636585,-1738.915231,0,0,0,1,0,0
"03/09/2022, 17:00",4.269926071,4.527246797,6.026350851,1,0,0,0,0,0
"03/09/2022, 17:15",3.467135906,6.074114144,75.19111764,0,0,0,0,0,1
"03/09/2022, 17:30",3.467135906,6.383188474,84.10551669,0,0,0,0,0,1
"03/09/2022, 17:45",4.76925993,5.358451371,12.35393855,0,1,0,0,0,0
"03/09/2022, 18:00",6.45634985,3.42124543,47.00960279,0,0,0,0,1,0
"03/09/2022, 18:15",8.142622948,4.310403085,47.06370279,0,0,0,0,1,0
"03/09/2022, 18:30",5.083735943,4.262622702,16.15176811,0,1,0,0,0,0
"03/09/2022, 18:45",3.650829077,3.915816673,7.258285472,1,0,0,0,0,0
"03/09/2022, 19:00",3.000403881,6.545773768,118.1630883,0,0,0,0,0,1
"03/09/2022, 19:15",3.994010925,5.238537812,31.15982681,0,0,0,1,0,0
"03/09/2022, 19:30",3.676898003,5.751460743,56.42154714,0,0,0,0,0,1
"03/09/2022, 19:45",1.786180973,3.900529847,118.3726008,0,0,0,0,0,1
"03/09/2022, 20:00",0.103859,6.171709871,5842.392928,0,0,0,0,0,1
"03/09/2022, 20:15",7.123372078,4.003307521,43.80038727,0,0,0,0,1,0
"03/09/2022, 20:30",1.753944039,2.201956434,25.54314076,0,0,1,0,0,0
"03/09/2022, 20:45",0.863240004,3.876568747,349.0719532,0,0,0,0,0,1
"03/09/2022, 21:00",3.334028959,4.742681712,42.25076537,0,0,0,0,1,0
"03/09/2022, 21:15",0.62044698,4.781976849,670.7309413,0,0,0,0,0,1
"03/09/2022, 21:30",3.423722029,4.040799818,18.02359489,0,1,0,0,0,0
"03/09/2022, 21:45",1.481788993,4.107879066,177.2242935,0,0,0,0,0,1
"03/09/2022, 22:00",4.645674229,3.651115078,21.4082844,0,0,1,0,0,0
"03/09/2022, 22:15",0.822663009,3.663814527,345.3603099,0,0,0,0,0,1
"03/09/2022, 22:30",2.047744036,4.959207785,142.1790858,0,0,0,0,0,1
"03/09/2022, 22:45",2.323343992,5.449225366,134.54234,0,0,0,0,0,1
"03/09/2022, 23:00",-2.178236008,2.549359018,-217.0377777,0,0,0,0,0,1
"03/09/2022, 23:15",-0.430027992,3.35559687,-880.3205681,0,0,0,0,0,1
"03/09/2022, 23:30",2.979609013,4.036715889,35.47803995,0,0,0,1,0,0
"03/09/2022, 23:45",-0.702278018,3.721276522,-629.8865159,0,0,0,1,0,0
"04/09/2022, 00:00",3.519427061,1.722709811,51.05141317,0,0,0,0,0,1
"04/09/2022, 00:15",1.330906034,1.69879241,27.64179938,0,0,1,0,0,0
"04/09/2022, 00:30",1.211555004,1.378421497,13.77291932,0,1,0,0,0,0
"04/09/2022, 00:45",0.997686028,1.08620692,8.872620235,1,0,0,0,0,0
"04/09/2022, 01:00",0.921467006,1.249022502,35.54717572,0,0,0,1,0,0
"04/09/2022, 01:15",1.341920972,1.131659323,15.66870579,0,1,0,0,0,0
"04/09/2022, 01:30",1.36838603,1.172187969,14.33791756,0,1,0,0,0,0
"04/09/2022, 01:45",1.383615971,1.049675697,24.13532953,0,0,1,0,0,0
"04/09/2022, 02:00",1.544754028,1.155370924,25.20680296,0,0,1,0,0,0
"04/09/2022, 02:15",1.261608005,1.24077002,1.651700458,1,0,0,0,0,0
"04/09/2022, 02:30",1.024368048,1.294687607,26.38890963,0,0,1,0,0,0
"04/09/2022, 02:45",1.569471002,1.106375809,29.50645105,0,0,1,0,0,0
"04/09/2022, 03:00",1.392585993,1.108165931,20.4238778,0,1,0,0,0,0
"04/09/2022, 03:15",1.222481012,1.198511788,1.960703149,1,0,0,0,0,0
